标题,作者,出版社,出版时间,评分,纸质版定价
权力与预测 : 人工智能的颠覆性经济学,[美] 阿杰伊·阿格拉沃尔,何凯,中信出版集团,6.9,2024-1
人工智能法律指南,,未知,未知,暂无评分,
人工智能基础 : 第一册,汤晓鸥,华东师范大学出版社,2022-8,暂无评分,59.00元
机器意识：人工智能的终极挑战,周昌乐,机械工业出版社,2020-12,9.1,99.00元
人工智能初学者指南,[美]约翰·保罗·穆勒 (John Paul Mueller),李林朋,人民邮电出版社,暂无评分,2019-8
人工智能时代 : 未来已来,杨爱喜,人民邮电出版社,2018-5,6.1,¥49.80元
人工智能中的逻辑,（英）T·雷蒙德,北京大学出版社,1990-2,暂无评分,2.5
我们最后的发明 : 人工智能与人类时代的终结,〔美〕James Barrat（詹姆斯·巴拉特）,电子工业出版社,2016-8,6.8,68.00
人工智能技术,曹承志,清华大学出版社,2010-8,暂无评分,29.50元
人工智能 : 系统化方法,M.Tim Jones,电子工业出版社,2010-7,暂无评分,45
人工智能的数学基础,冯朝路 于鲲 杨金柱 栗伟,未知,冯朝路 于鲲 杨金柱 栗伟,暂无评分,清华大学出版社
人工智能颠覆未来战争,石海明 著,石海明 著,人民出版社,暂无评分,60元
人工智能算法基础,唐宇迪,北京大学出版社,2022-4,暂无评分,81.70元
极简人工智能 : 你一定爱读的AI通识书,[英] 理查德·温,电子工业出版社,2018-3-1,6.5,50
人工智能（初中版）,北京师范大学出版社,未知,北京师范大学出版社,暂无评分,58.10元
人工智能及其应用 : 第5版,蔡自兴,陈白帆,清华大学出版社,5.6,2016-7-1
AI艺术家 : 人工智能的创意与未来,[英] 阿瑟•I.米勒,世界图书出版公司,2023-10,8.0,59.00
计算未来 : 人工智能及其社会角色,沈向洋,北京大学出版社,2018-8-1,5.5,49.00元
走近人工智能,鲁昕,商务印书馆,2020-11,暂无评分,58.00
人工智能基础 : 数学知识,张晓明,张晓明,人民邮电出版社,暂无评分,55元
金融中的人工智能,吴汉铭,人民邮电出版社,2022-5,暂无评分,79.90
测算与判断 : 人工智能的终极未来,[美] 布莱恩·坎特韦尔·史密斯,中信出版集团,2022-9,7.4,58.00元
人工智能的法律未来,乔路,知识产权出版社,2018-6-1,暂无评分,CNY 48.00
人工智能与产业变革,李清娟,李清娟,上海财经大学出版社,暂无评分,98元
人工智能与全球治理,,未知,未知,暂无评分,
了不起的人工智能,未来童书,人民邮电出版社,2022-6,暂无评分,98.00元
人工智能能不能,曾安军,未知,曾安军,暂无评分,电子工业出版社
TensorFlow深度学习——深入理解人工智能算法设计 : 深入理解人工智能算法设计,龙良曲,清华大学出版社,2020-7-1,8.7,89.00
深度模仿 : 人工智能时代如何发掘创新基因,[日] 井上达彦,后浪 丨 江西人民出版社,2017-9,7.0,38.00元
人类的终极命运 : 从旧石器时代到人工智能的未来,(英) 乔治·扎卡达基斯,中信出版社,2017-9-1,8.6,68.00元
机器人人工智能,[美] 弗朗西斯·戈弗,电子工业出版社,2020-3,暂无评分,99.00元
人工智能控制,蔡自兴,化学工业出版社,2005-7,暂无评分,36.00元
网络与人工智能法学,王建文 主编,王炳,李宗辉 副主编,暂无评分,法律出版社
人工智能新时代：全球人工智能应用真实落地50例,电子工业出版社,未知,电子工业出版社,暂无评分,64.50元
负责任的人工智能何以可能？,弗吉尼亚·迪弗兰,弗吉尼亚·迪弗兰,上海交通大学出版社,暂无评分,2023
当人工智能照进生活,[日]日经BP社信息技术媒体部,机械工业出版社,2018-1,暂无评分,39.00
人工智能教程,金聪,清华大学出版社,2007-1,暂无评分,24.00元
人工智能责任,[德] 塞巴斯蒂安·洛塞,上海人民出版社,2024-10,暂无评分,78
图解人工智能大全,,未知,未知,暂无评分,
人工智能时代的刑法观,刘宪权,上海人民出版社,2019-7,暂无评分,58.00元
展望·人工智能:物我合一,埃森哲中国,上海交通大学出版社,2016-7-1,暂无评分,50
次协调逻辑与人工智能,桂起权,武汉大学出版社,2002-7,暂无评分,33.00
智能与智慧 : 人工智能遇见中国哲学家,宋冰 编著,中信出版社,2020-2,7.2,69.00元
省思：冷眼横看人工智能热,杜运泉,杜运泉,上海财经大学出版社,暂无评分,2019-8
人工智能开发语言——Python,化学工业出版社,未知,化学工业出版社,暂无评分,63.40元
人工智能导论（第5版）,王万良,王万良,高等教育出版社,暂无评分,2020-11
人脑与人工智能,,未知,未知,暂无评分,
漫话人工智能：坂本真树老师带你轻松读懂人工智能,化学工业出版社,未知,未知,暂无评分,化学工业出版社
人工智能及其应用,尚福华,石油工业出版社,2005-5,暂无评分,40.0
人工智能+教育蓝皮书,余胜泉,北京师范大学出版社,2020-9,暂无评分,68.00
人工智能全球格局 : 未来趋势与中国位势,国务院发展研究中心国际技术经济研究所,中国人民大学出版社,2019-9,7.8,59.00
人工智能引论,,未知,未知,暂无评分,
人工智能与治理,清华大学战略与安全研究中心 编,中国社会科学出版社,2022-10,暂无评分,89
Unity人工智能游戏开发（第2版）,[美] Ray Barrera,张颖,2016-9,5.7,49.00
人工智能药物研发,（美）亚历山大·海菲兹（Alexander Heifetz）,未知,（美）亚历山大·海菲兹（Alexander Heifetz）,暂无评分,科学出版社
人工智能辞典,蔡自兴 编,化学工业出版社,2008-5,暂无评分,48.00元
人工智能实战,[古] 阿纳达·佩雷兹·卡斯塔诺（Arnaldo Pérez Casta?o）,清华大学出版社,2019-12,暂无评分,98
医学人工智能导论,唐子惠,唐子惠,上海科学技术出版社,暂无评分,2020-4
Swift人工智能实战,,未知,未知,暂无评分,
我们的人工智能,,未知,未知,暂无评分,
人人都能懂的人工智能,电子工业出版社,未知,未知,暂无评分,电子工业出版社
未来IT图解：人工智能,[日]谷田部卓,中国工人出版社,2021-1,暂无评分,46.00元
终极智能 : 感知机器与人工智能的未来,[ 美 ] 阿米尔·侯赛因（Amir Husain）,中信出版社,2018-6-30,7.6,49.00元
